"NIT","RAZON SOCIAL","AÑO","MES","MUNICIPIO","ESTRATO","No. SUSCRIPTORES ACUEDUCTO","CONSUMO M3 ACUEDUCTO","PROMEDIO CONSUMO ACUEDUCTO","No. SUSCRIPTORES ALCANTARILLADO","CONSUMO M3 ALCANTARILLADO","PROMEDIO CONSUMO ALCANTARILLADO"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","KILOMETRO 41","Comercial","13","83","6.38","4","13","3.25"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","KILOMETRO 41","Publico / Oficial","9","296","32.89","7","294","42"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","LA DORADA","Estrato1","4.518","79.576","17.61","3.76","67.751","18.02"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","LA DORADA","Estrato2","9.333","147.589","15.81","8.992","146.062","16.24"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","LA DORADA","Estrato3","4.398","80.254","18.25","4.258","79.227","18.61"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","LA DORADA","Estrato4","447","9.713","21.73","316","6.683","21.15"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","LA DORADA","Estrato5","63","2.706","42.95","4","119","29.75"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","LA DORADA","Estrato6","12","528","44","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","LA DORADA","Industrial","7","2.764","394.86","3","1.828","609.33"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","LA DORADA","Comercial","1.415","26.451","18.69","1.212","23.212","19.15"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","LA DORADA","Publico / Oficial","115","54.335","472.48","94","14.803","157.48"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","MANZANARES","Estrato1","354","2.498","7.06","240","1.802","7.51"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","MANZANARES","Estrato2","1.499","12.343","8.23","1.105","9.58","8.67"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","MANZANARES","Estrato3","538","4.943","9.19","496","4.819","9.72"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","MANZANARES","Estrato4","14","189","13.5","14","189","13.5"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","MANZANARES","Estrato5","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","MANZANARES","Estrato6","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","MANZANARES","Industrial","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","MANZANARES","Comercial","257","2.414","9.39","237","2.401","10.13"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","MANZANARES","Publico / Oficial","40","1.779","44.48","29","959","33.07"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","MARMATO","Estrato1","168","2.562","15.25","33","626","18.97"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","MARMATO","Estrato2","542","12.691","23.42","379","6.333","16.71"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","MARMATO","Estrato3","3","23","7.67","1","1","1"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","MARMATO","Estrato4","2","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","MARMATO","Estrato5","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","MARMATO","Estrato6","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","MARMATO","Industrial","1","63","63","1","63","63"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","MARMATO","Comercial","81","1.166","14.4","55","564","10.25"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","MARMATO","Publico / Oficial","23","1.558","67.74","16","1.476","92.25"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","MARQUETALIA","Estrato1","702","5.408","7.7","568","4.372","7.7"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","MARQUETALIA","Estrato2","693","6.619","9.55","553","5.227","9.45"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","MARQUETALIA","Estrato3","599","5.777","9.64","523","5.194","9.93"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","MARQUETALIA","Estrato4","14","293","20.93","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","MARQUETALIA","Estrato5","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","MARQUETALIA","Estrato6","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","MARQUETALIA","Industrial","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","MARQUETALIA","Comercial","147","1.679","11.42","108","1.1","10.19"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","MARQUETALIA","Publico / Oficial","36","1.2","33.33","25","678","27.12"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","MARULANDA","Estrato1","105","317","3.02","78","280","3.59"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","MARULANDA","Estrato2","238","1.429","6","226","1.412","6.25"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","MARULANDA","Estrato3","27","173","6.41","26","173","6.65"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","MARULANDA","Estrato4","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","MARULANDA","Estrato5","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","MARULANDA","Estrato6","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","MARULANDA","Industrial","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","MARULANDA","Comercial","34","109","3.21","21","104","4.95"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,023","MAYO","PALESTINA","Estrato5","8","144","18","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","MARULANDA","Publico / Oficial","13","196","15.08","12","196","16.33"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","NEIRA","Estrato1","147","1.117","7.6","84","1.093","13.01"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","NEIRA","Estrato2","1.351","14.189","10.5","1.103","12.835","11.64"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","NEIRA","Estrato3","1.782","19.782","11.1","1.725","19.684","11.41"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","NEIRA","Estrato4","2","13","6.5","1","13","13"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","NEIRA","Estrato5","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","NEIRA","Estrato6","1","1","1","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","NEIRA","Industrial","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","NEIRA","Comercial","247","3.258","13.19","198","2.545","12.85"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","NEIRA","Publico / Oficial","38","2.153","56.66","31","2.045","65.97"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","PALESTINA","Estrato1","642","5.312","8.27","532","4.939","9.28"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","PALESTINA","Estrato2","790","6.878","8.71","664","6.549","9.86"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","PALESTINA","Estrato3","181","2.164","11.96","145","1.683","11.61"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","PALESTINA","Estrato4","131","1.076","8.21","3","20","6.67"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","PALESTINA","Estrato5","7","105","15","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","PALESTINA","Estrato6","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","PALESTINA","Industrial","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","PALESTINA","Comercial","108","1.266","11.72","79","615","7.78"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","PALESTINA","Publico / Oficial","28","1.4","50","15","1.062","70.8"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","RIOSUCIO","Estrato1","625","6.61","10.58","468","5.211","11.13"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","RIOSUCIO","Estrato2","1.702","18.874","11.09","1.522","17.381","11.42"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","RIOSUCIO","Estrato3","2.771","32.155","11.6","2.653","31.718","11.96"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","RIOSUCIO","Estrato4","8","52","6.5","7","52","7.43"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","RIOSUCIO","Estrato5","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","RIOSUCIO","Estrato6","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","RIOSUCIO","Industrial","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","RIOSUCIO","Comercial","516","5.104","9.89","479","5.011","10.46"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","RIOSUCIO","Publico / Oficial","70","10.224","146.06","59","9.489","160.83"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","RISARALDA","Estrato1","547","4.692","8.58","327","2.951","9.02"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","RISARALDA","Estrato2","997","7.76","7.78","752","5.993","7.97"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","RISARALDA","Estrato3","247","1.816","7.35","201","1.456","7.24"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","RISARALDA","Estrato4","46","180","3.91","1",,"0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","RISARALDA","Estrato5","206","764","3.71","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","RISARALDA","Estrato6","1","8","8","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","RISARALDA","Industrial","1","0","0","1",,"0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","RISARALDA","Comercial","117","1.029","8.79","84","586","6.98"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","RISARALDA","Publico / Oficial","37","768","20.76","23","726","31.57"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","SALAMINA","Estrato1","1.012","6.635","6.56","840","6.356","7.57"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,023","MAYO","PALESTINA","Estrato6",,,"0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","SALAMINA","Estrato2","1.69","12.168","7.2","1.477","11.894","8.05"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","SALAMINA","Estrato3","790","6.64","8.41","753","6.635","8.81"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","SALAMINA","Estrato4","23","213","9.26","19","213","11.21"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","SALAMINA","Estrato5","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","SALAMINA","Estrato6","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","SALAMINA","Industrial","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","SALAMINA","Comercial","291","2.014","6.92","261","1.97","7.55"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","SALAMINA","Publico / Oficial","55","2.747","49.95","40","2.739","68.48"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","SAMANA","Estrato1","558","4.229","7.58","300","2.618","8.73"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","SAMANA","Estrato2","819","7.584","9.26","723","6.637","9.18"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","SAMANA","Estrato3","394","4.565","11.59","379","4.471","11.8"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","SAMANA","Estrato4","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","SAMANA","Estrato5","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","SAMANA","Estrato6","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","SAMANA","Industrial","0","0","0","1",,"0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","SAMANA","Comercial","172","2.198","12.78","157","2.029","12.92"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","SAMANA","Publico / Oficial","29","1.295","44.66","23","907","39.43"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","SAN JOSE","Estrato1","300","2.818","9.39","92","681","7.4"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","SAN JOSE","Estrato2","452","4.215","9.33","295","2.266","7.68"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","SAN JOSE","Estrato3","52","292","5.62","31","128","4.13"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","SAN JOSE","Estrato4","3","12","4","1","8","8"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","SAN JOSE","Estrato5","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","SAN JOSE","Estrato6","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","SAN JOSE","Industrial","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","SAN JOSE","Comercial","70","225","3.21","53","195","3.68"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","SAN JOSE","Publico / Oficial","25","461","18.44","14","246","17.57"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","SUPIA","Estrato1","111","853","7.68","42","508","12.1"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","SUPIA","Estrato2","2.488","28.213","11.34","2.209","24.774","11.22"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","SUPIA","Estrato3","1.724","20.747","12.03","1.395","15.131","10.85"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","SUPIA","Estrato4","20","631","31.55","8","91","11.38"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","SUPIA","Estrato5","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","SUPIA","Estrato6","9","164","18.22","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","SUPIA","Industrial","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","SUPIA","Comercial","297","10.212","34.38","236","6.845","29"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","SUPIA","Publico / Oficial","59","2.182","36.98","50","1.885","37.7"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","VICTORIA","Estrato1","628","4.747","7.56","451","3.484","7.73"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","VICTORIA","Estrato2","515","4.273","8.3","469","4.013","8.56"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","VICTORIA","Estrato3","257","2.255","8.77","242","2.227","9.2"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","VICTORIA","Estrato4","5","38","7.6","4","38","9.5"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","VICTORIA","Estrato5","1","67","67","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","VICTORIA","Estrato6","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","VICTORIA","Industrial","5","3","0.6","1","3","3"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","VICTORIA","Comercial","125","828","6.62","99","728","7.35"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","VICTORIA","Publico / Oficial","21","665","31.67","14","583","41.64"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","VITERBO","Estrato1","977","12.628","12.93","863","11.963","13.86"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","VITERBO","Estrato2","1.193","15.935","13.36","1.106","15.027","13.59"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","VITERBO","Estrato3","1.206","16.333","13.54","1.099","15.576","14.17"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","VITERBO","Estrato4","296","3.667","12.39","4","21","5.25"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","VITERBO","Estrato5","11","120","10.91","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","VITERBO","Estrato6","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","VITERBO","Industrial","3","4","1.33","1","4","4"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","VITERBO","Comercial","227","2.152","9.48","189","1.925","10.19"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","SEPTIEMBRE","VITERBO","Publico / Oficial","40","2.516","62.9","34","1.649","48.5"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","OCTUBRE","AGUADAS","Estrato1","986","8.581","8.7","888","7.557","8.51"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","OCTUBRE","AGUADAS","Estrato2","1.943","19.732","10.16","1.805","18.397","10.19"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","OCTUBRE","AGUADAS","Estrato3","434","4.864","11.21","427","4.606","10.79"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","OCTUBRE","AGUADAS","Estrato4","19","149","7.84","16","145","9.06"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","OCTUBRE","AGUADAS","Estrato5","1","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","OCTUBRE","AGUADAS","Estrato6","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","OCTUBRE","AGUADAS","Industrial","0","0","0","0","0","0"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","OCTUBRE","AGUADAS","Comercial","344","3.742","10.88","332","3.525","10.62"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","OCTUBRE","AGUADAS","Publico / Oficial","45","3.893","86.51","38","3.794","99.84"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","OCTUBRE","ANSERMA","Estrato1","1.178","13.345","11.33","1.102","12.193","11.06"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","OCTUBRE","ANSERMA","Estrato2","1.56","16.793","10.76","1.522","16.005","10.52"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","OCTUBRE","ANSERMA","Estrato3","2.897","29.233","10.09","2.885","28.971","10.04"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","OCTUBRE","ANSERMA","Estrato4","145","1.382","9.53","145","1.382","9.53"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","OCTUBRE","ANSERMA","Estrato5","2","138","69","1","69","69"
"890.803.239-9","Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P","2,015","OCTUBRE","ANSERMA","Estrato6","0","0","0","0","0","0"
